facility_name,reg_no,facility_type,level,county,status
COPTIC HOSPITAL - LUANDA,001xxx,FAITH BASED LEVEL 4 HOSPITAL,LEVEL 4,VIHIGA,ACTIVE
COPTIC HEALTH CENTRE,001xxx,FAITH BASED DISPENSARY,LEVEL 2,NAIROBI,ACTIVE
COPTIC HOSPITAL - NGONG ROAD,000xxx,NATIONAL TEACHING AND REFERRAL HOSPITAL,LEVEL 6A,NAIROBI,ACTIVE
COPTIC HOSPITAL-SALGAA,021xxx,FAITH BASED LEVEL 4 HOSPITAL,LEVEL 4,NAKURU,ACTIVE
CORAL DENTAL CARE LIMITED,021xxx,DENTAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
CORALLA MEDICAL CENTER,019xxx,MEDICAL CLINIC,LEVEL 2,MACHAKOS,ACTIVE
CORDIS MARIA MEDICAL CENTRE,002xxx,HEALTH CENTRE,LEVEL 3A,KIAMBU,ACTIVE
CORNER B HOSPITAL LIMITED,019xxx,HOSPITAL LEVEL 4,LEVEL 4,MANDERA,ACTIVE
CORNER_EMICARE HEALTH CENTRE,018xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
CORNERSTONE BAPTIST,013xxx,FAITH BASED DISPENSARY,LEVEL 2,BUSIA,ACTIVE
CORNERSTONE BAPTIST CLINIC,001xxx,FAITH BASED DISPENSARY,LEVEL 2,NAIROBI,ACTIVE
CORNERSTONE HEALTHCARE LTD,007xxx,MEDICAL CLINIC,LEVEL 2,NYERI,ACTIVE
COSGUROW HEALTHCARE LIMITED,003xxx,MEDICAL CENTRE,LEVEL 3B,GARISSA,ACTIVE
COSMOS MEDICAL CLINIC KIAMBU,004xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
COTTOLENGO HEALTH CENTRE,000xxx,HEALTH CENTRE,LEVEL 3A,NAIROBI,ACTIVE
COTTOLENGO MISSION HOSPITAL,000xxx,FAITH BASED LEVEL 4 HOSPITAL,LEVEL 4,MERU,ACTIVE
COUNT MEDICAL AND DIAGNOSTIC LIMITED,003xxx,HOSPITAL LEVEL 4,LEVEL 4,GARISSA,ACTIVE
COUNTY DIGITALIS MEDICAL CARE,007xxx,MEDICAL CLINIC,LEVEL 2,MERU,ACTIVE
COUNTY MEDICAL CENTRE EMBU LTD,002xxx,HOSPITAL LEVEL 4,LEVEL 4,EMBU,ACTIVE
COVENANT MEDICAL CLINIC LTD,004xxx,MEDICAL CENTRE,LEVEL 3B,MERU,ACTIVE
COWDRAY DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KILIFI,ACTIVE
CRATER X- RAY CLINIC,007xxx,MEDICAL CENTRE,LEVEL 3B,NAKURU,ACTIVE
CREATION FERTILITY CENTRE,017xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
CREATIVE MEDICAL SERVICES,018xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
CRECIA MEDICAL CLINIC,019xxx,MEDICAL CLINIC,LEVEL 2,KISUMU,ACTIVE
CREDIBLE MEDICAL CENTRE NYAYO STADIUM,004xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
CRESCENT COMMUNITY HOSPITAL LIMITED,018xxx,HOSPITAL LEVEL 4,LEVEL 4,NAIROBI,ACTIVE
CRESCENT MEDICAL AID KENYA PANGANI,000xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
CREST CARE HOSPITAL LIMITED-CLINIC,018xxx,MEDICAL CLINIC,LEVEL 2,EMBU,ACTIVE
CRISON MEDICAL CLINIC,004xxx,MEDICAL CLINIC,LEVEL 2,UASIN GISHU,ACTIVE
CROSSWAY NURSING HOME LIMITED,024xxx,NURSING HOME,LEVEL 3A,MANDERA,INACTIVE
CROWN DENTAL CLINIC,015xxx,DENTAL CLINIC,LEVEL 2,NAKURU,ACTIVE
CROWN SPECIALIST CENTRE,017xxx,HOSPITAL LEVEL 4,LEVEL 4,MOMBASA,ACTIVE
CROWNLIFE DENTAL CLINIC,021xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
CROWNSTAR MEDICAL CLINIC,018xxx,MEDICAL CLINIC,LEVEL 2,MERU,ACTIVE
CRYSTAL COTTAGE HOSPITAL & MEDICAL CLINIC LTD,003xxx,HOSPITAL LEVEL 4,LEVEL 4,TRANS NZOIA,ACTIVE
CRYSTAL COTTAGE HOSPITAL & MEDICAL CLINIC LTD-TOWN CLINIC,000xxx,MEDICAL CENTRE,LEVEL 3B,TRANS NZOIA,ACTIVE
CRYSTAL HEALTH CONSULTANTS,019xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
CRYSTAL PEER IMAGING,007xxx,MEDICAL CENTRE,LEVEL 3B,KAJIADO,ACTIVE
CRYSTAL POINT DENTAL CLINIC,014xxx,DENTAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
CU-MEYR MEDICAL CENTER LIMITED,023xxx,MEDICAL CLINIC,LEVEL 2,WAJIR,ACTIVE
CUATRO CURAFA CLINIC,015xxx,MEDICAL CLINIC,LEVEL 2,KAJIADO,ACTIVE
CUBAN MEDICAL CENTRE LIMITED,023xxx,MEDICAL CLINIC,LEVEL 2,BOMET,ACTIVE
CUMEL DENTAL CENTRE COMPANY LIMITED,020xxx,DENTAL CLINIC,LEVEL 2,UASIN GISHU,ACTIVE
CURE4LIFE CENTRE LIMITED,019xxx,MEDICAL CENTRE,LEVEL 3B,MOMBASA,ACTIVE
CUREMART PHARMACY AND MEDICAL CENTER LTD,023xxx,MEDICAL CLINIC,LEVEL 2,VIHIGA,ACTIVE
CUREPARK MODERN HOSPITAL LIMITED,015xxx,NURSING HOME,LEVEL 3A,KIAMBU,ACTIVE
CURRENT MEDICAL CLINIC,018xxx,MEDICAL CLINIC,LEVEL 2,MERU,ACTIVE
CUSTOM MEDICAL CENTER,168xxx,HOSPITAL LEVEL 4,LEVEL 4,MANDERA,ACTIVE
CUSTOM SMILES DENTAL LTD,023xxx,DENTAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
CYFAR MEDICAL,020xxx,MEDICAL CLINIC,LEVEL 2,BUNGOMA,ACTIVE
CYNERT HOSPITAL AND REHABILITATION CENTRE LTD,014xxx,NURSING HOME,LEVEL 3A,EMBU,ACTIVE
CYTOPATH MEDICALSERVICES,011xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
D.A.P DIAGNOSTIC & MEDICAL SERVICES,002xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
D.T.C HEALTHCARE LIMITED,024xxx,MEDICAL CENTRE,LEVEL 3B,MANDERA,ACTIVE
DA VINCI MEDICAL GROUP LIMITED,017xxx,HOSPITAL LEVEL 4,LEVEL 4,NAIROBI,ACTIVE
DAABA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,ISIOLO,ACTIVE
DABAA NURSING HOME LIMITED,023xxx,NURSING HOME,LEVEL 3A,MANDERA,ACTIVE
DABACITY NURSING HOME LIMITED,024xxx,NURSING HOME,LEVEL 3A,MANDERA,INACTIVE
DABEL HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,MARSABIT,ACTIVE
DABIB NURSING HOME LIMITED,024xxx,NURSING HOME,LEVEL 3A,MANDERA,INACTIVE
DABLEY DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WAJIR,ACTIVE
DADAAB MEDICAL CENTRE LIMITED,016xxx,MEDICAL CENTRE,LEVEL 3B,GARISSA,ACTIVE
DADAAB SUB-COUNTY HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,GARISSA,ACTIVE
DADACH KAMBI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MARSABIT,ACTIVE
DADAJABULA HEALTH CENTRE,GK-xxx,COMPREHENSIVE CENTRE,LEVEL 3A,WAJIR,ACTIVE
DADHANTALY DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WAJIR,ACTIVE
DAGAHALEY HEALTH CENTRE,GK-xxx,BASIC HEALTH CENTRE,LEVEL 3B,GARISSA,ACTIVE
DAGAHLEY MEDICAL HEALTH CARE SERVICES LIMITED,015xxx,NURSING HOME,LEVEL 3A,GARISSA,ACTIVE
DAGAHLEY DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WAJIR,ACTIVE
DAGAMRA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KILIFI,ACTIVE
DAGAMRA MEDICAL CLINIC LIMITED,017xxx,MEDICAL CENTRE,LEVEL 3B,KILIFI,ACTIVE
DAGO DISPENSARY - RANGWE,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
DAGO JONYO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISUMU,ACTIVE
DAGO KOKORE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISUMU,ACTIVE
DAGO KOTIENDE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISUMU,ACTIVE
DAGORETTI SUB-COUNTY HOSPITAL MUTUINI,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,NAIROBI,ACTIVE
DAHKAH MEDICAL CENTRE LIMITED,016xxx,MEDICAL CENTRE,LEVEL 3B,LAIKIPIA,ACTIVE
DAILY CARE HEALTH SERVICES MWINGI,015xxx,MEDICAL CENTRE,LEVEL 3B,KITUI,ACTIVE
DAIMA LIFECARE MEDICAL CENTRE,017xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
DAIMAH MED CENTRAL DARACHA,018xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
DAKABARICHA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MARSABIT,ACTIVE
DAKAJA HEALTHCARE LTD,023xxx,NURSING HOME,LEVEL 3A,MANDERA,ACTIVE
DAKARH MEDICAL SERVICES,007xxx,MEDICAL CLINIC,LEVEL 2,MOMBASA,ACTIVE
DAKTARI MEDICAL CENTRE,000xxx,NURSING HOME,LEVEL 3A,NAKURU,ACTIVE
DALEY DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,GARISSA,ACTIVE
DALLAS DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,EMBU,ACTIVE
DALSAN DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WAJIR,ACTIVE
DALSAN MEDICAL CENTRE,003xxx,MEDICAL CLINIC,LEVEL 2,TRANS NZOIA,ACTIVE
DAMACARE MEDICAL CLINIC,005xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
DAMAJALEY HEALTH CENTRE,GK-xxx,BASIC HEALTH CENTRE,LEVEL 3B,GARISSA,ACTIVE
DAMAL HEALTHCARE SOLUTIONS LIMITED,021xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
DAMASA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MANDERA,ACTIVE
DAMASA NURSING HOME LIMITED,023xxx,NURSING HOME,LEVEL 3A,MANDERA,ACTIVE
DAMASTEEN HEALTHCARE CENTRE,019xxx,MEDICAL CLINIC,LEVEL 2,KILIFI,ACTIVE
DAMBALLA FACHANA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MARSABIT,ACTIVE
DAMBAS HEALTH CENTRE,GK-xxx,DISPENSARY,LEVEL 2,WAJIR,ACTIVE
DAMIANA HEALTH MEDICAL CENTRE,015xxx,MEDICAL CLINIC,LEVEL 2,NAKURU,ACTIVE
DANABA HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,WAJIR,ACTIVE
DANAS MEDICAL CENTER,002xxx,MEDICAL CENTRE,LEVEL 3B,UASIN GISHU,ACTIVE
DANASA NURSING HOME LIMITED,019xxx,NURSING HOME,LEVEL 3A,MANDERA,ACTIVE
DANCARE COTTAGE MEDICAL CLINIC,018xxx,MEDICAL CLINIC,LEVEL 2,TURKANA,ACTIVE
DANCARE MEDICAL CLINIC,003xxx,MEDICAL CLINIC,LEVEL 2,NAKURU,ACTIVE
DANDELION MEDICAL CENTRE,014xxx,MEDICAL CENTRE,LEVEL 3B,NAKURU,ACTIVE
DANDELION MEDICAL CENTRE-KILIMANJARO,020xxx,MEDICAL CLINIC,LEVEL 2,KAJIADO,ACTIVE
DANDORA I HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,NAIROBI,ACTIVE
DANDORA II HEALTH CENTRE,009xxx,HEALTH CENTRE,LEVEL 3A,NAIROBI,ACTIVE
DANDORA MEDICAL CENTRE,003xxx,NURSING HOME,LEVEL 3A,NAIROBI,ACTIVE
DANDU HEALTH CENTRE,GK-xxx,COMPREHENSIVE CENTRE,LEVEL 3A,MANDERA,ACTIVE
DANDU NURSING HOME LIMITED,016xxx,NURSING HOME,LEVEL 3A,MANDERA,ACTIVE
DANICA HEARING CENTRE,001xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
DANID CARE SERVICES,005xxx,NURSING HOME,LEVEL 3A,KISUMU,ACTIVE
DANID CENTRE FOR CHRONIC ILLNESS LTD,020xxx,NURSING HOME,LEVEL 3A,KISUMU,ACTIVE
DANIEL COMBONI HEALTH CENTRE,004xxx,HEALTH CENTRE,LEVEL 3A,MACHAKOS,ACTIVE
DANLINK HEALTH CARE,015xxx,NURSING HOME,LEVEL 3A,MERU,ACTIVE
DANMED MEDICAL SERVICES LTD,000xxx,MEDICAL CLINIC,LEVEL 2,BUNGOMA,ACTIVE
DANMOSON OASIS MEDICAL & DIAGNOSTIC CENTRE LIMITED,016xxx,MEDICAL CENTRE,LEVEL 3B,BOMET,ACTIVE
DANNYABITE MEDICAL CENTRE,021xxx,MEDICAL CLINIC,LEVEL 2,NYAMIRA,ACTIVE
DANSAMA MEDICAL CENTRE,024xxx,MEDICAL CLINIC,LEVEL 2,WAJIR,ACTIVE
DANTEZ MEDICAL CENTRE,018xxx,MEDICAL CLINIC,LEVEL 2,MACHAKOS,ACTIVE
DANYA MEDICAL CENTRE LIMITED,017xxx,MEDICAL CLINIC,LEVEL 2,NYAMIRA,ACTIVE
DAONI MEDICAL CLINIC,018xxx,MEDICAL CLINIC,LEVEL 2,BARINGO,ACTIVE
DARAJA MEDICAL CENTRE,006xxx,MEDICAL CENTRE,LEVEL 3B,KISII,INACTIVE
DARAJA MEDICAL CENTRE ANNEX,017xxx,MEDICAL CLINIC,LEVEL 2,KISII,ACTIVE
DARAJA MUNGU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BUNGOMA,ACTIVE
DARARA HEALTH CENTRE LIMITED,024xxx,NURSING HOME,LEVEL 3A,MANDERA,ACTIVE
DARIQA NURSING HOME LIMITED,019xxx,NURSING HOME,LEVEL 3A,MANDERA,INACTIVE
DARIS HEALTHCARE CENTRE,019xxx,MEDICAL CENTRE,LEVEL 3B,MIGORI,ACTIVE
DARKENLEY HEALTH CENTRE,GK-xxx,BASIC HEALTH CENTRE,LEVEL 3B,GARISSA,ACTIVE
DARU SALAM PHARMACEUTICALS & MEDICAL CENTRE LIMITED,020xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
DARUL IMAN NURSING HOME LIMITED,024xxx,MEDICAL CLINIC,LEVEL 2,MANDERA,ACTIVE
DARUSALAAM HOSPITAL,015xxx,HOSPITAL LEVEL 4,LEVEL 4,GARISSA,ACTIVE
DARWED DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MANDERA,ACTIVE
DARYEEL PLUS HOSPITAL LIMITED,017xxx,NURSING HOME,LEVEL 3A,MANDERA,ACTIVE
DARYEELCARE IMITED,023xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
DASHEG DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WAJIR,ACTIVE
DASHEK NURSING HOME LIMITED,020xxx,MEDICAL CENTRE,LEVEL 3B,MANDERA,ACTIVE
DAVA MEDICAL CENTRE LTD,019xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
DAVICARE MEDICAL CLINIC-NGATA BRIDGE,020xxx,MEDICAL CLINIC,LEVEL 2,NAKURU,ACTIVE
DAVID KAYANDA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,TAITA TAVETA,ACTIVE
DAVINE SMILES DENTAL CARE LIMITED,023xxx,DENTAL CENTRE,LEVEL 3B,KIAMBU,ACTIVE
DAVISLUKE MEDICAL CENTER,018xxx,MEDICAL CLINIC,LEVEL 2,BOMET,ACTIVE
DAVMA HEALTH SERVICES LIMITED,021xxx,MEDICAL CLINIC,LEVEL 2,NYERI,ACTIVE
DAVMED DENTAL SERVICES,015xxx,DENTAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
DAWA NYUMBANI CLINICS LIMITED,021xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
DAWAASMILE MEDICAL CENTRE LTD,023xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
DAWADUBA NURSING HOME LTD,014xxx,NURSING HOME,LEVEL 3A,MANDERA,ACTIVE
DAWAFRONT HEALTHCARE SERVICES - LOLWE,020xxx,MEDICAL CENTRE,LEVEL 3B,KISUMU,ACTIVE
DAWAFRONT PHARMACY AND CLINIC,008xxx,MEDICAL CENTRE,LEVEL 3B,KISUMU,ACTIVE
DAWAMU MEDICAL CLINIC,016xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
DAWASAFE MEDICAL CENTRE,005xxx,HOSPITAL LEVEL 4,LEVEL 4,NAIROBI,INACTIVE
DAWDER DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MANDERA,ACTIVE
DAWIDA ANNEX HOSPITAL LIMITED,018xxx,MEDICAL CENTRE,LEVEL 3B,TAITA TAVETA,ACTIVE
DAWIDA MATERNITY & NURSING HOME,002xxx,NURSING HOME,LEVEL 3A,TAITA TAVETA,ACTIVE
DAWIDA MEDICAL SERVICES,003xxx,MEDICAL CLINIC,LEVEL 2,TAITA TAVETA,ACTIVE
DAWNRISE MEDICAL CLINIC,007xxx,MEDICAL CLINIC,LEVEL 2,KILIFI,ACTIVE
DAY TO DAY NURSING HOME LIMITED,016xxx,HOSPITAL LEVEL 4,LEVEL 4,MANDERA,ACTIVE
DAYANIILE HOSPITAL,024xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
DAYCARE HOSPITAL LIMITED,023xxx,NURSING HOME,LEVEL 3A,MANDERA,ACTIVE
DAYLIGHT REHABILITATION CENTER LIMITED,020xxx,REHABILITATION CENTRE,LEVEL 3B,KAJIADO,ACTIVE
DAYSLAND MEDICAL CENTRE,021xxx,MEDICAL CLINIC,LEVEL 2,KERICHO,ACTIVE
DCI HEADQUARTERS STAFF CLINIC,GK-xxx,DISPENSARY,LEVEL 2,NAIROBI,ACTIVE
DEANESH HOSPITAL LTD,017xxx,MEDICAL CENTRE,LEVEL 3B,TRANS NZOIA,ACTIVE
DEANS DENTAL LIMITED,019xxx,DENTAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
DEBOMART HEALTHCARE SYSTEMS LTD,003xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
DECHI HEARING CENTRE,020xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
DEDE HARMONY MEDICAL CENTRE AND MATERNITY HOME LIMITED,020xxx,MEDICAL CENTRE,LEVEL 3B,MIGORI,ACTIVE
DEDE HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,MIGORI,ACTIVE
DEDE PRIME CARE MEDICAL CENTRE,021xxx,MEDICAL CLINIC,LEVEL 2,MIGORI,ACTIVE
DEDE PRIME CARE MEDICAL CENTRE-NYATAMBE ANNEX,023xxx,MEDICAL CLINIC,LEVEL 2,MIGORI,ACTIVE
DEECARE MEDICAL CENTER LTD,015xxx,MEDICAL CLINIC,LEVEL 2,MURANG'A,ACTIVE
DEEP WHITE DENTAL LIMITED,004xxx,DENTAL CLINIC,LEVEL 2,NAKURU,ACTIVE
DEFENCE FORCES MEMORIAL HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,NAIROBI,ACTIVE
DEFENCE FORCES WELLNESS CENTRE,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,NAIROBI,ACTIVE
DEGAN MEDICAL CENTRE,019xxx,MEDICAL CLINIC,LEVEL 2,LAIKIPIA,ACTIVE
DEKAHARJA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,GARISSA,ACTIVE
DELA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WAJIR,ACTIVE
DELAM MEDICAL CLINIC,003xxx,NURSING HOME,LEVEL 3A,MACHAKOS,ACTIVE
DELAMARE ESTATES CLINIC,000xxx,MEDICAL CLINIC,LEVEL 2,NAKURU,ACTIVE
DELEHELE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,GARISSA,ACTIVE
DELESH MEDICAL CLINIC,020xxx,MEDICAL CLINIC,LEVEL 2,NYANDARUA,ACTIVE
DELIGHT DENTAL LIMITED,019xxx,DENTAL CLINIC,LEVEL 2,KISUMU,ACTIVE
DELIGHT DENTAL LIMITED- CBD,020xxx,DENTAL CLINIC,LEVEL 2,NAKURU,ACTIVE
DELIGHT DENTAL LIMITED-ELDORET,019xxx,DENTAL CLINIC,LEVEL 2,UASIN GISHU,ACTIVE
DELIGHT DENTAL LIMITED-KERICHO,021xxx,DENTAL CLINIC,LEVEL 2,KERICHO,ACTIVE
DELIGHT DENTAL LIMITED-KISII,023xxx,DENTAL CLINIC,LEVEL 2,KISII,INACTIVE
DELIGHT OPTICS LIMITED,019xxx,EYE CLINIC,LEVEL 2,UASIN GISHU,ACTIVE
DELIGHTS SUN HOSPITAL,020xxx,MEDICAL CLINIC,LEVEL 2,MOMBASA,ACTIVE
DELINA HEALTH CARE,007xxx,MEDICAL CLINIC,LEVEL 2,NYERI,ACTIVE
DELIVERANCE CHURCH KASARANI MEDICAL CLINIC,018xxx,DISPENSARY,LEVEL 2,NAIROBI,ACTIVE
DELMONTE - CHUI DISPENSARY,001xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
DELMONTE - DOCTORS CLINIC,001xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
DELMONTE - FACTORY DISPENSARY,001xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
DELMONTE ANGLO-FRENCH DISPENSARY,001xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
DELMONTE GATUANYAGA DISPENSARY,001xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
DELMONTE NDULA CLINIC,001xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
DELTAPATH MEDICAL SERVICES,020xxx,MEDICAL CLINIC,LEVEL 2,MACHAKOS,ACTIVE
DEMAS MEDICAL CLINIC,003xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
DEMBWA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,TAITA TAVETA,ACTIVE
DEMBWA MODERN MEDICAL CLINIC,018xxx,MEDICAL CLINIC,LEVEL 2,TAITA TAVETA,ACTIVE
DENCARE MEDICAL CLINIC,015xxx,MEDICAL CENTRE,LEVEL 3B,KISII,ACTIVE
DENROSE MEDICAL CLINIC LIMITED,019xxx,MEDICAL CLINIC,LEVEL 2,KWALE,ACTIVE
DENRYL MEDICAL CLINIC,017xxx,MEDICAL CLINIC,LEVEL 2,TRANS NZOIA,ACTIVE
DENSMILE DENTAL CLINIC KITENGELA,005xxx,DENTAL CLINIC,LEVEL 2,KAJIADO,INACTIVE
DENSMILE DENTAL CLINIC LIMITED,019xxx,DENTAL CLINIC,LEVEL 2,KAJIADO,ACTIVE
DENSMILE DENTAL CLINIC LIMITED-MOMBASA,019xxx,DENTAL CLINIC,LEVEL 2,MOMBASA,ACTIVE
DENSMILE DENTAL CLINIC ROYSAMBU,015xxx,DENTAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
DENT OPTIONS LIMITED,017xxx,DENTAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
DENT-O-SYTEMS,017xxx,DENTAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
DENTAL & MAXILLOFACIAL IMAGING CENTRE NAIROBI CBD,008xxx,DENTAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
DENTAL & MAXILLOFACIAL IMAGING CENTRE UPPERHILL,008xxx,DENTAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
DENTAL ACCESS NAIROBI CLINIC,007xxx,DENTAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
DENTAL ART CENTRE GROUP LIMITED MALINDI,007xxx,DENTAL CLINIC,LEVEL 2,KILIFI,ACTIVE
DENTAL ART STUDIO,015xxx,DENTAL CLINIC,LEVEL 2,KAJIADO,ACTIVE
DENTAL CAPITAL GROUP LIMITED,002xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
DENTAL CARE LIMITED NAIROBI CBD,005xxx,DENTAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
DENTAL HEALTH PROVIDERS LIMITED - GREEN HOUSE,006xxx,DENTAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
DENTAL HEALTH PROVIDERS LIMITED - MENELIK HOSPITAL,006xxx,DENTAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
DENTAL HEALTH PROVIDERS LIMITED-APPLE WOOD,020xxx,DENTAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
DENTAL HEALTH PROVIDERS LIMITED-KAREN,020xxx,DENTAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
DENTAL HOUSE LIMITED,015xxx,DENTAL CENTRE,LEVEL 3B,KIAMBU,ACTIVE
DENTAL RITE CARE LIMTED,017xxx,DENTAL CLINIC,LEVEL 2,KAJIADO,ACTIVE
DENTAL SMILES FOR KIDS,003xxx,DENTAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
DENTALDOC CLINIC,003xxx,DENTAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
DENTIST @ THE PLACE LTD,017xxx,DENTAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
DENTISTRY AT KAREN BROOKS,007xxx,DENTAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
DENTISTRY NOW CLINIC,021xxx,DENTAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
DENTMIND DENTAL CENTER BURUBURU,007xxx,DENTAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
DENTMIND DENTAL CENTRE,005xxx,DENTAL CLINIC,LEVEL 2,KAJIADO,ACTIVE
DENTMIND DENTAL CENTRE GARDEN CITY,015xxx,DENTAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
DENTMIND DENTAL CENTRE KAREN,021xxx,DENTAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
DENTOPTIC MEDICARE LIMITED,016xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
DENTOSENSE DENTAL CLINIC,007xxx,DENTAL CLINIC,LEVEL 2,MOMBASA,ACTIVE
DENTPLAN DENTAL CLINIC,020xxx,DENTAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
DEO GRATIUS MONTE-IRIS MEDICAL CLINIC,023xxx,MEDICAL CLINIC,LEVEL 2,KAKAMEGA,ACTIVE
DEQ RABI HEALTH CARE LIMITED,017xxx,NURSING HOME,LEVEL 3A,GARISSA,ACTIVE
DERI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KWALE,ACTIVE
