Provider,03-Dec,05-Dec,11-Dec,18-Dec,23-Dec,09-Jan,30-Jan,03-Feb
Rehema Health Care Clinic,,,,514560,107520,248640,,64980
Rehema Hospice and Clinic Limited,,44800,180240,150080,62720,361680,,237940
Reinha Rosary Medical Clinic (Githunguri),,,70000,190000,30000,324080,,864960
Rekeke Model Health Centre,,,10000,,20000,,,30000
Reliable Health Care Services Limited,"641,520",,882500,1306720,315840,1703120,,1706640
RELIANCE HOSPITAL LIMITED,,1510600,3366240,1816280,300420,2193940,591800,2478370
Renice Family Medical Clinic,,,,,30000,80000,,20000
RERA HEALTH CENTRE,,,,30000,,30000,,50000
Reuben Health Centre (GOK),,,140000,40000,20000,210000,,210000
Reuben Mukuru Health Centre,"380,000",359999,310000,210000,40000,290000,,560000
RFH Healthcare Imara Branch,,,26880,40320,15680,38080,24640,51520
RFH Healthcare Ruaka,,,207680,360800,6720,63520,164240,221280
RFH Healthcare Ruiru,"110,880",40080,128480,40320,67200,86720,,204320
RFH Healthcare -Syokimau,"33,600",,241440,43440,,410280,43600,126800
RFH Specialist Hospital,"502,028",216690,1690320,1255394,763462,945578,458703,842230
Rhamu Dimtu medical centre,"105,600",,168000,228480,67200,719040,,516240
RHAMU NURSING HOME,"271,040",86160,418880,253120,188160,976640,,893760
RHAMU SUB-COUNTY HOSPITAL,53520,16800,110800,201360,114000,3599520,,1765040
Rheema Hospital,,,,,11200,6720,,11200
RIANA HEALTH CENTRE,,,3375,,,,,
RIBA DISPENSARY,,,,,30000,20000,,20000
Ribe Dispensary,,,20000,,,10000,,10000
RIFT VALLEY PROVINCIAL GENERAL HOSPITAL NAKURU,26195304,12493743,37665349,22516695,9214005,30918505,4303630,36236680
Rigoma Medical Centre,,,,1139840,353920,613760,,689760
Rimaal Prime Community Hospital,4480,,30160,147360,40320,329200,,263680
Ringa Community Hospital LTD,,,701120,598080,291200,571200,,1559040
RINGA DISPENSARY,,,147680,147520,69280,160800,,157360
Riochanda Nursing Home,"69,440",8400,56000,268800,152320,1034880,,1191680
Riokindo Health Centre,"109,760",,238690,451280,134400,597920,,726800
Riotanchi Health Centre,"80,000",,40000,50000,10000,40000,60000,10000
RIYAAD MEDICAL CENTRE LIMITED,,,,183680,530880,324800,,613760
RIYADH MEDICAL CENTRE LTD,,,448000,571200,125440,891520,,427840
ROBANA MEDICAL CLINIC,,,20250,,,,,
ROBINS HEALTH CARE CLINIC,,,,,1699670,7030520,,1221530
Roblessing Medical Centre,"178,720",,246400,314640,56000,1056080,,921080
Roka Medical Clinic,,,,30000,20000,30000,20000,110000
ROKA MEDICAL CLINIC LIMITED,,,40000,10000,10000,20000,,120000
Roman Maternity and Nursing Home,"44,800",,300160,145600,51520,159040,73920,274320
ROMBO MISSION HOSPITAL,,,,72560,52560,329680,,79090
Romieva Medical Center - Etago,,,,,1226240,5273000,,2620840
ROMKAN MEDICAL CENTRE,,,22400,22400,21200,117200,,140320
RONGAI HEALTH CENTRE,,,50000,60000,40000,160000,10000,250000
RONGAI ORTHOPAEDIC MEDICAL SERVICES - NKOROI,,,,,179200,179200,,26880
Roret Sub County Hospital,"478,900",330600,640300,378580,312800,440000,178880,840040
ROSAMA MEDICAL SERVICES,"16,050",,,10000,21200,92400,5250,110000
Rosewood Nursing Home,"93,840",6720,216080,346000,78400,486960,,544880
Royal Bridge Hospital Limited,,,157920,2091716,161280,1280160,66080,1233120
Royal Medical Hospital and Maternity Home Limited,2592400,981519,4411200,3811200,1364160,3998080,315920,5545200
Royal St. Monicah Medical Centre,"437,560",99800,743680,797440,237440,1163600,,1808720
Royal Victoria Hospital,"262,080",,655120,1049360,350480,1471520,,1768400
ROYALMED MEDICAL CLINIC,,,56250,,,,,
Royalstar Family Hospital,"758,640",100400,1559760,1690240,795920,1141760,138400,922800
RTC Medical Centre,"325,920",10080,1038360,1636059,379320,1878440,100480,2602080
Ruai Family Hospital - Tala,"203,440",10000,600320,311200,30000,291200,157760,362560
Ruai Family Hospital Limited,"120,000",40080,186480,193440,30000,336960,,463600
RUCHU CATHOLIC DISPENSARY,,,3150,,,,,
RUIRI CATHOLIC MISSION HEALTH CENTRE,,,8750,,,41200,,10000
Ruiru Hospital Limited,"116,320",42400,222640,464560,156480,371360,108660,582800
Ruiru Nursing Hospital Ltd,"354,400",179600,549760,1380080,470320,1506080,,1584560
Ruiru Sub-County Hospital,"768,320",416990,2039520,1791600,422000,1883520,,3818640
Rumuruti District Hospital,"216,720",30000,352920,277640,194640,429690,151190,710690
Runyenjes Sub County Hospital,"83,841",94080,221360,241680,157700,207020,77040,258480
Rwambwa Sub-county Hospital,"93,680",10000,353840,250160,63440,494160,122880,494160
S.U.C.O.S HOSPITAL,,,393920,806420,434880,1284720,,1398980
Saba Medical Center,"564,480",94330,427840,584640,190400,788480,29120,960960
SABA SABA HEALTH CENTRE,,,30000,40000,90000,70000,,40000
SABASABA HEALTH CENTRE,,,2925,,,,,
SABATIA EYE HOSPITAL,,,1350,,,,,
Sabatia Sub County Hospital,"100,000",70000,340000,130000,80160,270000,,250000
Saboti Sub County Hospital,,,97300,123440,30000,253360,,263360
Sacha Health Centre,,,,10000,,30000,10000,20000
Sachangwan Health Centre,"10,000",,30000,10000,10000,,20000,20000
Sachangwan Highway Medical Centre,"58,240",,50320,72720,20160,31360,6720,303280
Sadik Med Care,"43,560",10000,146880,84640,100640,212720,,166320
SAGALLA HEALTH CENTRE,"50,000",,,,,,,
Sagam Community Hospital,"424,400",,1188320,1000960,591280,2139780,,2417200
Sagana Sub-County Hospital,,10000,143760,170320,93600,213760,,370480
SAINT GABRIEL HOSPITAL AND WELLNESS CENTER,"721,420",,1249649,547840,183320,856420,82630,1144460
SAINT. MAE MATERNITY HOME,,,,6720,20160,,,4480
Sala Health center,"281,600",,127040,433560,82880,496720,,220640
SALA NURSING HOME LIMITED,,,,255360,582400,532800,,601200
Salaam Nursing Home,"47,040",,,156800,118720,412160,,338240
Salama Cancer Centre Ltd,1434900,1372500,4260400,2325098,839400,977800,2206800,
SALAWA HEALTH CENTRE,,,10000,10000,,,,
SALSABIIL MEDICAL CENTRE LIMITED,,,,,288960,574560,,708880
Samaad Hospital,"191,280",28200,1046640,1115360,487200,1404080,107520,2542800
SAMARITAN HOPE MATERNITY & NURSING HOME LIMITED.,,,,,24640,94960,,259040
SAMARITAN MEDICAL SERVICES,,,8960,10000,10000,31200,,
Samawest Community Hospital Limited,,,,238390,22400,105280,,284480
Sambocho Health Centre,,,26720,20000,20000,10000,30000,50000
Samburu County Referral Hospital,"316,560",76000,723020,350960,170480,353920,,649430
Samburu Doctors Plaza Medical Centre,,,43600,69440,76160,344960,25680,326080
Samia Nursing Home,,,,,29120,116480,,53760
Samjomen Hospital,"1,295,600",1033930,1897880,1685840,1444800,1934400,,3651440
Sanel Hospital Limited,"45,770",,,101820,,60000,6720,10000
Santamore Specialized Surgical Hospital,"1,561,924",163280,2814840,1579660,401920,2140680,467360,614060
SANTIRO MEDICAL CENTRE COMPANY LIMITED,,,1776320,,226240,3514560,,
Saphire Healthcare Nursing Home,,17000,58240,67200,11200,246400,,123200
SARE FAMILY MEDICAL CENTRE,"15,680",,8960,26880,6720,136640,,203840
SARETHO HEALTH CENTRE,"10,000",,,,,,,
Sarman Health Centre,,,84000,10000,10000,10000,,
Savane Dispensary,,,20000,20000,10000,30000,,40000
Scion Healthcare Ltd Clinic,"149,440",194910,641280,229280,246880,349600,101200,389280
SCION HOSPITAL LIMITED,,,,5536960,1707920,1589200,,229200
Scion Medical Centre,"56,000",,60480,20160,31360,73920,14480,83920
Seaside Hospital (Mariakani),,,11200,2240,,26880,,16720
Seaside Nursing Home,"459,200",,589120,182080,89600,385200,257600,246320
SECOND TO NONE HOSPITAL LIMITED,,,,1415680,203840,1529920,,1908480
Sekenani Health Centre,,10000,30000,,20000,,10000,30000
Sena Level 4 Hospital,"16,800",,524160,278880,322560,211680,36960,288960
Senye Medical Center,,,,301360,138720,772640,,874160
Serem Health Centre (Nandi South),,,102240,70000,30000,20000,60000,130000
SERGOIT DISPENSARY (KEIYO),"10,000",,20000,40000,,10000,,30000
Sgima,"26,880",3000,206080,109760,40320,613760,,230720
Shaafici Nursing Home,"161,280",8960,291200,282240,76160,427840,,808640
SHAFEEN MEDICARE,,,287600,2213520,151200,1597120,,2155680
Shaffi Hospital Limited,,,,,660800,2602880,,1216320
shafin medical centre,"386,400",,934080,1058400,309120,1780800,,2096640
SHAFSHAFEY NURSING HOME,,,,112000,441280,425600,,
Shakahola Dispensary,,,,120000,50000,170000,70000,310000
Shalom Community Hospital (Athi River),"771,680",493520,1998960,1101760,284720,1914160,,2133760
SHALOM COMMUNITY HOSPITAL (MACHAKOS),,,,,1398250,9998640,,2311030
Shamaal Hospital,"27,440",130000,3295650,2088830,1174320,3020800,3987940,1361420
SHAMAAL HOSPITAL-TAKABA LIMITED,,,,,1531040,1309280,,339360
Shamakhokho Neema medical clinic,"11,200",,15680,15680,,17920,,13440
SHAMATA COMMUNITY MEDICAL CENTRE,,,105750,,,,,
Shamata Health Centre,"10,000",,40000,10000,,60000,30000,30000
Shamberere Health Centre,,,10000,20000,,,30000,
Shammah Nursing Home,"203,840",,898240,474880,246400,922880,,1216320
SHAMSU HEALTHCARE LIMITED,,3000,,,,,,
Shangia Dispensary,,,20000,10000,10000,,20000,10000
Shantaabaq Health Centre (Lagdera),,,40000,,,,,
Shawal Nursing Home,"353,920",35000,396480,477120,118720,996800,,828800
Sheletey Nursing Home Limited,"566,720",30160,674240,940800,210560,1500800,,1366400
Shelly Beach Hospital,"228,685",431135,703351,1138400,304320,1260960,,1456330
SHEPHER LIFECARE MEDICAL CENTER,,,,633920,103040,418880,,192640
SHEYWE COMMUNITY HOSPITAL LTD,,,,,325840,1067760,,1871040
Shianda Dispensary,,,88960,70000,30000,90000,,260160
Shibwe Sub-County Hospital,,,290960,445840,16800,310560,220400,598720
Shifa Taqwa Medical Centre,"271,040",40600,132160,266560,141120,436800,,316880
Shikusa Health Centre,,,,10000,,,,
Shimba Hills Health Centre,,,10000,,,,,
SHIMBIR MILANO NURSING HOME LIMITED,,,,,2017600,885360,,1416000
Shimo La Tewa Annex Dispensary (GK Prison),,,,10000,,,30000,20000
Shimo-La Tewa Health Centre (GK Prison),"10,000",,20000,,10000,,,
Shiru Health Centre,"60,000",,270000,110000,100000,131000,80000,160000
SHISESO MODEL HEALTH CENTRE,,,82240,80000,,52240,17760,164480
SIAYA COUNTY REFERRAL HOSPITAL,,,,,2468670,10650227,9762567,5419260
Siaya Medical Centre,"1,102,460",363280,1490000,1753440,598000,2355520,,3514640
Siboti Model Health Centre,"34,640",10000,26880,,,,53600,
Sidai Baare Medical Clinic,,,,,10000,71680,,10000
Sigomere Subcounty Hospital,10080,,257920,140720,100720,371040,,592560
Sigor Sub-District Hospital,"54,030",,394880,125685,23440,172920,383280,359400
Sigoti Health Centre,,,10000,,10000,10000,,30000
Sigowet Sub County Hospital,2071780,677080,2729862,1144370,1301847,1568894,157555,2416810
Siha Medical Home Limited(Mpeketoni),"255,575",104720,1111530,607040,159040,675160,131360,661760
SIKALAME DISPENSARY,,,35000,25000,10000,,,50000
SIKOTIA MEDICALCENTRE,,,98775,,,,,
Sikulu Health Centre,,,50000,70000,,30000,30000,50000
Sikusi Dispensary,,,50000,60000,,40000,10000,60000
Silent Hill Medical,"60,000",,217520,328800,53760,550480,,1048000
Silibwet Health Centre (Nyandaruawest),"90,000",,40000,10000,10000,90000,,60000
SILKA MEDICAL CENTRE,,,,17920,64960,91840,,67200
SILOAM HOSPITAL,,,,,21701500,7784251,,6347173
Siloam Hospital LTD Bomet,"15,680",4480,74960,155600,82880,117520,4480,238480
Silvercrest Medicare Hospital (Kirinyaga),"601,590",118330,668640,917280,329280,1243200,,1589280
SIMAHO MCH/FP CLINIC,,,20160,,,,,6720
Simbiri Nanbell Health Centre,"26,880",,873600,741440,114240,1453760,,1144320
Simenya Health Centre,"40,000",,20000,20000,20000,30000,,30000
Simotwo Dispensary (Keiyo),"20,000",,20000,10000,,10000,20000,30000
SIMRAN MEDICAL CENTER,,,,30000,,221000,,316560
Sinai hospital,"59,360",,624960,306800,36960,952880,,314540
SINAMBIO DISPENSARY,,,10000,30000,,,,
Sino Health Centre,,,422160,410960,367360,219520,204560,338960
Sinoko Dispensary (Bungoma East),,,41200,126880,15680,103440,,130480
Sio Port Sub County Hospital,,,107880,183520,23520,409480,,441040
Siongiroi Health Centre,,,50000,50000,10000,120000,,170000
SIPILI HEALTH CENTRE,"6,000",,,,,,,
Sipili Maternity and Nursing Home (Ol-Moran),"251,200",31000,720920,1065480,262920,1541600,,1798820
SIPILI MATERNITY AND NURSING HOME ANNEX,,,,,21200,32400,,146640
SIRIBA NURSING HOME,,,,,5172840,4689320,,1644290
Sirwa Dispensary (Mogotio),,,10000,,,10000,,10000
Sisit Medical Services,,,,58240,14480,129760,,195920
Sismexy Diagnostic and Medical Centre,"134,400",11200,163520,188160,226240,456960,,486080
Sister Freda Medical Centre,"182,180",30000,302560,208160,134080,315360,24600,505280
SISTER FRIDAS MEDICAL CENTRE,"43,140",,,,,,,
SISTERS OF ST. JOSEPH DISPENSARY MIVUMONI,,,,,40000,30000,,10000
Sisto Mazoldi Dispensary (Rongai),,,278240,930080,405760,768161,,656800
SIU DISPENSARY,,,50000,,,10000,10000,20000
SIVILIE HEALTH CENTRE,,,10000,80000,,,,
Skovic,"15,680",15200,132160,415280,204880,521440,,423340
SKOVIC HEALTH CARE SERVICES LTD - KOPSIRO,,,,965440,587440,819840,,912480
Soal Medical Centre,35840,,157160,184720,42560,169040,,180240
SOBA RIVER HEALTH CENTRE,,,10000,40000,,10000,10000,20000
SOGLE NURSING HOME,,,,,595840,2493520,,973200
Sogoo Health Centre,20000,,270000,120000,84480,370000,,410000
Soin sub county hospital,"13,440",,34960,30000,23440,33360,30000,164080
Solaya medical centre,,,,,24920,186020,,85440
SOMCARE HOSPITAL LTD,,,2027880,3753060,567555,3903750,250860,7340490
Sonak Community Medical Centre,"338,240",30930,965280,1569040,450240,1792880,,2516400
Sondany Dispensary,,,10000,50000,,,40000,
SONDU HEALTH CENTRE,,,,40000,10000,10000,,130000
SONGOT MEDICAL CENTRE LIMITED,"4,480",,47040,,,42560,,29120
SORI LAKESIDE HOSPITAL- NDHIWA,"10,000",,213680,120960,38080,455760,,389440
Sori Lakeside Nursing and Maternity Home,"1,483,480",574370,1319680,1360760,1081680,2703760,,2823840
Sosiani Health Centre,,,7497,,,10000,,
Sosiot Health Centre,"30,000",,110000,10000,,,30000,310000
Sosobora Dispesary,,,20000,30000,,40000,,40000
Sosoni Dispensary,,,50000,,,,,
Soteni Dispensary,,,,,70000,70000,,
SOTIK HEALTH CENTRE,,,,,110000,190000,,70000
South B Hospital Ltd,,11760,41360,,,,2500720,312160
SOUTH C DIALYSIS CENTRE LTD,,,,,7838340,1139550,,2268450
SOUTH HORR CATHOLIC CENTRE,,,40000,40000,50000,50000,40000,150000
SOUTH NGARIAMA DISPENSARY,,,10000,,,,,
SOUTHRIFT HOSPITAL LIMITED,"532,750",106500,839200,1318180,576340,1156970,792470,2095810
Soy Health Centre,,,20000,62500,20000,120000,,50000
Spa Nursing Home,15200,145640,11200,20160,23160,10000,23600,42400
Spica's Medical Centre,10000,12220,42400,92560,57040,420560,,457960
St Akidiva Memorial Hospital,"396,637",65880,183680,593560,228480,1123280,,1222240
St Akidiva Mindira Hospital - Mabera,"882,720",81240,1674400,2148320,722160,2954160,,4449280
ST ANGELA MEDICAL CENTRE,,,,,370960,1393040,,596320
St Bakhita Mission,"194,080",113600,152160,275760,86160,415040,,437440
ST CATHERINE ICHUNI MISSION,,,,,1641880,5791650,,2829720
St Charles Lwanga Health Centre,"17,920",,191840,82720,65840,250080,14480,286640
St Clare Bolo Health Centre,"72,720",150580,464080,915680,267600,1074880,,840560
St Clare Medical Clinic,,,32400,71520,16720,33440,30000,6720
St Consolata Clinic,"439,040",34005,692160,1001280,259840,1057280,,1568000
ST CORNEL MEDICAL CENTRE SAMBURU,,,,145600,409090,301200,,296720
St Damiano Mission Hospital,"2,267,201",,1296400,1076400,328880,1827760,,2153680
St Elizabeth Lorugum Health Centre,"44,480",40000,17920,54640,18960,129440,,118240
St Elizabeth Lwak Mission Health Centre,,,108400,177840,66000,239040,,271280
ST ERNEST MEDICAL POINT CLINIC,,,21600,,,,,
ST GALLEN ONCOLOGY NETWORK,,,,,10603368,2482697,68900,
St James Life Care Hospital,"75,115",54350,480480,500640,131040,550960,,819680
St James Memorial Medical Clinic,22900,11500,200240,150080,44800,192640,1040,383040
St Jane Nursing Home,"213,692",85533,316204,357094,133200,366000,96488,624283
St John Hospital,"1,769,530",,3670900,1650220,574750,3239970,559330,3974440
St Joseph Hospital,"323,920",81820,398560,391840,115200,515680,,629600
St Joseph Mission Hospital,3935820,2802450,8513668,7450590,3845850,11828800,,15296300
St Joseph W Dispensary (Westlands),,,140000,80000,,210000,,160000
ST JOSEPH'S NYANSIONGO HEALTH CENTRE,,,,1800400,2682560,2559520,,2223360
St Joseph's Shelter of Hope,1611890,1607715,2643820,1741020,246550,2549150,,3484510
St Jude Medical Care,"8,250",20060,8960,,26880,71680,,96320
St Jude Thaddeus Medical Clinic,17920,,39120,141120,38080,258480,,299840
ST JUDES NURSING HOME HOSPITAL,,488640,1682300,1166690,372270,2012790,262180,1350270
St Lucy's Hospital,,,97360,70480,,147760,,147760
St Luke's (ACK) Nursing home Kaloleni,,,34400,20000,10000,50000,,30000
St Lukes Cottage Hospital,38080,,172480,165760,91840,320320,,231760
St Luke's Hospital,,,359320,84000,,,43680,
St Lukes Orthopaedic and Trauma Hospital,,,,,3995799,30480688,,3657522
ST MARK ORTHODOX HEALTH CENTER LIMITED,,,,236960,5326400,548640,,488880
ST MARY KACHUNGO BEST MEDICAL CLINIC AND LABORATORY SERVICES,,,,105280,176960,208320,,217280
ST MARY MISSION HEALTH CENTRE CHELELEMUK,,,,59120,72720,237280,,140480
St Mary's Health Centre,"11,200",,149999,10000,,70000,,90000
ST MARY'S MISSION HOSPITAL,,2632300,4012060,2356400,744630,3633030,,3380620
St Michael Dispensary,"10,000",,40000,,10000,10000,10000,10000
St Michael Nursing Home,"327,600",69120,257840,205920,169760,663360,,831360
St Monica Oboke,,,,504880,49280,54800,,182320
St Monica Rapogi Hospital,"166,720",55360,380060,413040,277600,643120,,863840
ST MOTHER TERESA HEALTH CARE,,,,,40320,67200,,120960
St Mulumba Mission Hospital,"655,760",163440,1395119,1253760,298080,922720,,1291680
St Orsola Mission Hospital,"1,332,479",198000,1075200,395120,57040,1899840,,1953360
St Patrick Nursing Home (Naromoru),,,,,11200,,,
St Paul's Hospital,50400,,124320,26880,50400,70560,20160,50400
St Paul's Mission Hospital,"283,200",54800,976720,595520,134400,2211680,,2382880
St Pius Musoli Health Centre,"11,200",,66880,13440,,89440,,226800
St Teresa Nursing Home,"65,340",13250,770200,327040,80320,250480,36640,307440
St Theresa Dispensary,"10,000",,,,,10000,20000,20000
ST THERESA MISSION HOSPITAL-KIIRUA,,16957184,15356181,5640060,2393610,14032111,12950831,11198546
St Thomas Maternity,"602,560",33600,1357440,1335440,424480,2347440,204400,1085200
St Thomas Maternity Hospital - Ferry Branch,"441,280",486200,578800,842960,244160,1651760,,1337280
St Vincents De Paul Health Centre,"377,295",103800,322560,342720,174720,1027840,,1567520
ST. AGNES HEALTH CLINIC,,,,111840,282080,94080,,102880
ST. ANNES IGOJI,,,,,2451240,10551368,,3054720
ST. ANTHONY CATHOLIC HOSPITAL,,,,,1181540,7997098,,2236360
ST. BRIGITTAS CATHOLIC HOSPITAL,,,,,6997020,3262240,259200,533040
ST. CHRISTOPHER DAMA COMMUNITY CLINIC,,,,11200,,54800,,107360
ST. ELIZABETH SWINDON CLINIC,,,78300,,,,,
ST. FRANCIS COMMUNITY HOSPITAL,,,,,13318890,3297450,,2152820
St. Helier Health Care Services,"89,600",85627,117360,207120,56000,478160,,542080
St. Jairus,"336,206",,744640,949730,301440,527920,197850,1120150
St. John Divine Nursing Home,,,,,74760,2695920,,231280
St. John of God Hospital Tigania,"1,220,136",284705,1487640,823360,334240,1652800,112480,2076080
ST. JOSEPH CATHOLIC DISPENSARY SIRIMA PARISH,"18,697",,,,,,,
ST. JOSEPH'S NURSING AND MATERNITY HOM,,,,43440,76800,660717,,706880
ST. JUDE'S SIRIMBA DISPENSARY,,,,20000,,10000,,
ST. LEONARDS HOSPITAL,,5147790,5439740,3504530,1462830,5459670,64190,7294510
St. Lucia Medical Centre,"323,200",52880,1225520,1212720,534160,3025840,2283520,4978000
ST. MARTHA'S CHIMOI HEALTH CENTRE,"18,960",76160,20000,,,841600,,707520
ST. MARYS MISSION HOSPITAL MUMIAS,,,,,6847140,17283580,,6563870
St. Paul's Dawa Medical clinic,,,224000,342720,228480,407680,,766080
ST. PAULS EMUSONGA MEDICAL CENTRE,,,130725,,,,,
ST. PETERS MEDICAL CENTRE BULWANI,,,22400,,,,,
ST. RITA HOSPITAL TIMAU,,,15680,35840,11200,,,54800
St.Bridget Hospital-Kiambu,10000,,30000,115680,105680,113920,,125840
St.Georges Medical Center,"22,400",200120,318080,407680,96320,445760,,687520
ST.JAMES INFIRMARY BUSIA LIMITED,,,,100800,153360,335520,,430960
St.John's Mission Hospital,,,398240,144080,60400,582640,,671840
St.Lawrence Hospital,"335,840",,1780800,2438880,1031440,2928960,,4207040
St.Lawrence Hospital (Rangwe),"1,709,120",104000,405760,749280,678720,3907680,420000,2831360
St.Marys Mother & Child Hospital (Kiambu Town ),,,50080,70000,,30000,30000,60000
st.Newreb Hospital,"150,080",204540,257600,358400,64960,683200,,658560
ST.Pauls Eemusonga Medical Centre,,,,,820720,2653040,,1322320
ST.PETER CLAVER RC HEALTH CENTRE,,,,20160,11200,33600,,98400
ST.SCHOLASTICA UZIMA HOSPITAL,,,,,1839090,9313060,,3389390
St.Teresa Hospital Kiambu,"436,080",,935040,916560,535120,1654400,527480,480960
STAR GENERAL MEDICAL CENTRE,,,,,22240,44270,,35840
Star Hospital Kisumu -Annex,"127,360",10080,313360,335760,100800,994800,,1326000
Star Maternity & Nursing Home,"91,840",44800,352560,402000,69440,213840,132160,433360
STAR SPECIALIST HOSPITAL LIMITED,,,,,936160,1644640,23680,531920
Starmax Medical Centre,29120,,82880,105280,44800,235200,,134400
STIRLING MEDICAL CENTRE,,,,,401200,1254880,,621760
Suba Sub-Couty Hospital,"567,680",,1569040,2347840,870160,760080,571120,703040
Sublime Health Care Limited,,,,,3652950,1150200,,841350
SUBUKIA HEALTH CENTRE,"10,000",,160000,10000,10000,50000,,164000
SUBUKIA SUB COUNTY HOSPITAL,"80,000",,60000,120080,50000,210000,54000,66000
SUBUKU DISPENSARY,"30,000",,,10000,,50000,,60000
SUGUTA HEALTH CENTRE - KISII,,,,,370000,70000,,60000
Suguta Marmar Sub County Hospital,"78,890",,90500,10000,20000,20000,30600,20000
SUHEYLA PHARMACEUTICALS AND MEDICAL CENTRE,,,,24640,8960,91840,,206080
Sukela Tinfi Dispensary,,,,,20000,20000,,50000
Sultan Hamud Sub County Hospital,"652,040",5300,1926560,1144080,485200,1260800,,2468960
SUMMIT MEDICAL CLINIC (NYANSIONGO),,,,,6304270,2136080,,2107420
SUMMIT MEDICARE (CHEPILAT),,,,864480,1320400,1370960,,1301120
SUMMIT ORTHOPAEDIC AND SURGICAL HOSPITAL,,,,649600,4245540,840000,,
SUNA NURSING AND MATERNITY HOME,,,,396320,1547600,705440,118720,915680
Sunbeam Medical Centre,,,4480,,,3500,,11720
Sunrise Evans Hospital,,,,36960,40320,36960,40320,57120
Sydo Plus Healthcare,"8,960",,360640,810880,176960,1229760,,1314880
SYNERGY CLINICS LIMITED-KISUMU,,,6263650,3560743,374670,2474070,3411950,4118759
Tabaka Mission Hospital,4903180,1540480,6720360,4699800,3324120,9102800,699520,9855620
Tabernacle Medical Clinic,267120,,33600,131840,33600,82880,,80320
Tahidi Nursing Home,38080,,96320,138880,143360,210560,24640,284480
TAHRIR HEALTHCARE SERVICES LIMITED,,,,597760,1573940,1968960,,1444800
Takaba Nursing Home LTD,"136,640",24640,266560,273280,143360,551040,,495040
TAKABA SUB-COUNTY HOSPITAL,,,657440,1517440,748880,724960,413040,720240
TAKITECH DISPENSARY,,,7300,20000,10000,20000,,30000
Talitia Dispensary,,,60000,,,,,60000
Tamani Medical Center,"23,520",,228480,268800,53760,477120,,336000
Tamu Health Centre,,,455600,313600,51520,1145520,,778160
TANA HOSPITAL,,,,483840,722400,1518720,,1142400
TANA POINT MEDICAL CENTRE,,,43200,,91840,423360,,705600
TANAJA HOSPITAL LIMITED,,,,78400,67200,201600,,205920
Tanaka Nursing Home,1933680,971717,5071580,1719120,693160,3908170,167160,3658680
Taqwa Nursing Home,"10,000",,1083090,910160,315840,2924320,,2936240
Tarakwa Health centre,"10,000",,40000,,,,10000,30000
TARBAJ HEALTH CENTRE,,,470000,67200,36960,235040,,224560
Taru Dispensary,"30,000",,70000,20000,10000,10000,,20000
TAVETA SUB-COUNTY HOSPITAL,,,,,1219468,2972340,,1438080
Tawa Sub-County Hospial,"601,680",53760,769280,830960,482400,1175520,,1544960
TAWFIQ HOSPITAL,,,,,8597780,2540990,,3119120
Tawheed Community Nursing Home,,20160,64740,107520,67200,178080,,661920
TAWHEED COMMUNITY NURSING HOME MINJILA,,,,,970540,841120,20160,146720
Taysir Medical Centre,"150,080",26880,87360,22400,11200,219520,67200,291200
TAYSIR NURSING HOME LIMITED,"392,160",45360,387520,488320,44800,396480,42560,407680
TAYYIBA MEDICAL CENTRE,,2735995,3068543,2510740,1048400,2669040,,1319040
TEGATSUB-COUNTY HOSPITAL,,,,10000,,80000,,60000
TEI WA YESU HOSPITAL,,21200,475600,246400,69440,352080,,629120
TENDERCARE HOSPITAL LIMITED,"4,480",,,21200,4480,27920,2240,157615
TENWEK HOSPITAL,10960223,676745,37309854,8392428,3388621,3735469,6186123,9693008
TENWEK HOSPITAL-KABOSON DISPENSARY,,,8731,,10000,40000,,60000
TERMARY HEALTH CARE NURSING HOME,,,,4367640,682960,3182540,,1674320
TERMARY HEALTHCARE,,,660600,,,,,
Teso North Sub county Hospital,"13,440",,351280,491200,191280,492160,100880,1193760
TEXAS CANCER CENTRE NAIROBI WEST,12462417,8522239,22336267,2363181,4561651,7818716,5195686,2275020
TEXAS COLES MEDICAL CENTRE,,,,53760,,,,
TG Dialysis Clinic,,,149100,53250,31950,31950,85200,149100
Thagana County Medical Centre,"50,400",23665,344960,673040,265200,937200,104160,554320
THARAKA DISTRICT HOSPITAL,,,588400,491440,402160,1456960,,1780720
THE AGA KHAN HOSPITAL - KISUMU,,,,,12800152,16180932,,
THE AGA KHAN UNIVERSITY HOSPITAL NAIROBI,,,,,45744625,10167679,,7519355
THE ALTAR MEDICAL CENTER KIBIRICHIA,,,,20160,116480,,,4480
The Caring Imanga Medical Centre,"424,400",68170,621520,445600,277760,583440,73760,844480
THE CHERANGANY HOSPITAL LTD,,,,,2797860,13144705,,2281260
The Dawameds Hospital,"13,440",30000,668560,724800,237680,703200,250480,571000
THE DAWAMEDS HOSPITAL LIMITED-SIRISIA,,,,63600,20000,72400,,108560
THE FORK HOSPITAL KENYA,"548,800",,,,,,336000,
THE GODS FAVOUR MEDICAL CLINIC,,,,6720,,15680,,6720
The Great Lakes Medical Centre,"381,750",139920,369260,553360,208000,583440,57360,1009360
The Gyno Solutions Center Limited,"672,400",450800,842480,672400,30000,607200,,589840
The Hope Medical Centre-Awasi,"250,880",73920,855680,436800,232960,960960,,1482720
The Hopkins Crescent Hospitals Limited,"1,357,610",77280,1631550,1207250,205740,993380,520,1474560
